# 情感词典（起步精简集）：格式 词,极性(1正向/-1负向),权重(可省略默认1.0)
# 极性 1 = 正向，-1 = 负向；权重表示情感强度（>0，可大于 1）
# 实验阶段可替换/扩充为公开情感词典（如大连理工情感本体库）
喜欢,1,1.5
爱,1,1.5
好,1,1.0
很好,1,1.5
优秀,1,1.8
出色,1,1.8
完美,1,2.0
棒,1,1.5
很棒,1,1.8
赞,1,1.2
点赞,1,1.2
好评,1,1.5
满意,1,1.5
开心,1,1.5
高兴,1,1.5
快乐,1,1.5
愉快,1,1.3
舒适,1,1.3
舒服,1,1.3
惊喜,1,1.8
惊艳,1,1.8
感动,1,1.5
温暖,1,1.3
贴心,1,1.3
周到,1,1.3
热情,1,1.3
认真,1,1.3
专业,1,1.3
可靠,1,1.3
稳定,1,1.3
流畅,1,1.3
清晰,1,1.2
快速,1,1.2
便捷,1,1.3
方便,1,1.2
实惠,1,1.5
便宜,1,1.2
划算,1,1.5
值得,1,1.2
推荐,1,1.3
支持,1,1.2
感谢,1,1.2
爽,1,1.3
给力,1,1.5
好看,1,1.3
漂亮,1,1.3
好用,1,1.5
有效,1,1.3
强大,1,1.5
丰富,1,1.2
好评如潮,1,2.0
物美价廉,1,2.0
差,-1,1.0
差评,-1,1.8
讨厌,-1,1.5
恨,-1,1.8
失望,-1,1.5
垃圾,-1,2.0
烂,-1,1.8
糟糕,-1,1.8
烦,-1,1.3
恶心,-1,1.8
难过,-1,1.5
伤心,-1,1.5
生气,-1,1.5
愤怒,-1,1.8
坑,-1,1.5
骗,-1,1.8
骗子,-1,1.8
贵,-1,1.2
太贵,-1,1.5
慢,-1,1.2
卡,-1,1.3
卡顿,-1,1.5
崩溃,-1,1.8
故障,-1,1.5
坏,-1,1.5
劣质,-1,1.8
瑕疵,-1,1.5
投诉,-1,1.5
退款,-1,1.3
退货,-1,1.3
郁闷,-1,1.5
焦虑,-1,1.5
可怕,-1,1.8
恐怖,-1,1.8
痛苦,-1,1.8
后悔,-1,1.5
不值,-1,1.5
浪费,-1,1.3
脏,-1,1.5
乱,-1,1.3
吵,-1,1.3
无语,-1,1.5
敷衍,-1,1.5
糟糕透顶,-1,2.0
